Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
2508,"Einhorn, Alfred",1904,,,Science,Medi,11.27,0,Germany,Germany,Germanic,0,
2509,"Einstein, Albert",1919,1879,1955,Science,Phys,98.47,0,Germany,Switzerland,Jewish,0,
2510,"Einthoven, Willem",1900,1860,1927,Science,Biol,13.67,0,Netherlands,Netherlands,Dutch,0,
12315,Ejima Kiseki,1707,1667,1736,Lit.Japan,,21.73,0,Japan,Japan,Japanese,0,
2513,"Ekeberg, Anders ",1807,1767,1813,Science,Eart,13.55,0,Sweden,Sweden,Swedish,0,
2515,"Ekman, Vagn ",1914,1874,1954,Science,Eart,1.15,0,Sweden,Sweden,Swedish,0,
40727,"Elgar, Edward",1897,1857,1934,Music.West,,7.59,0,Britain,Britain,English,0,
2519,"Elhuyar, Fausto D'",1795,1755,1833,Science,Chem,3.48,0,Spain,Spain,Spanish,0,
2522,"Élie de Beaumont, Jean",1838,1798,1874,Science,Eart,16.19,0,France,France,French,0,
11401,"Eliot, George",1859,1819,1880,Lit.West,,9.48,0,Britain,Britain,English,1,
11402,"Eliot, T.S.",1928,1888,1965,Lit.West,,31.13,0,USA,Britain,USA,0,
40734,"Ellington, Duke",1939,1899,1974,Music.West,,2.05,0,USA,USA,Black,0,
2538,"Elster, Johann",1894,1854,1920,Science,Phys,4.27,0,Germany,Germany,Germanic,0,
11408,"Éluard, Paul (Grindel)",1935,1895,1952,Lit.West,,6.89,0,France,France,French,0,
11412,"Emerson, Ralph",1843,1803,1882,Lit.West,,11.58,1,USA,USA,USA,0,2
30552,"Emerson, Ralph",1843,1803,1882,Phil.West,,2.37,1,USA,USA,USA,0,2
11413,"Eminescu, Mikhail",1889,1850,1889,Lit.West,,3.79,0,Balkans,Balkans,Romanian,0,
2552,Empedocles,-452,-492,-432,Science,Biol,32.12,1,Anc Greece,Anc Greece,Ancient Greek,0,2
